total_pop,pop_urban,pop_urban_areas,pop_urban_cluster,pop_rural,pop_not_defined,zipcode,statefipscode,stateabbreviation
222,0,0,0,222,0,"85360","04","AZ"
6700,0,0,0,6700,0,"85361","04","AZ"
663,0,0,0,663,0,"85362","04","AZ"
6156,6156,6156,0,0,0,"85363","04","AZ"
74904,74231,74231,0,673,0,"85364","04","AZ"
46558,40179,40179,0,6379,0,"85365","04","AZ"
20429,19846,19846,0,583,0,"85367","04","AZ"
419,0,0,0,419,0,"85371","04","AZ"
17356,17065,17065,0,291,0,"85373","04","AZ"
47146,47146,47146,0,0,0,"85374","04","AZ"
27703,26622,26622,0,1081,0,"85375","04","AZ"
3051,2548,2548,0,503,0,"85377","04","AZ"
39732,39540,39540,0,192,0,"85379","04","AZ"
24249,24249,24249,0,0,0,"85381","04","AZ"
40454,40454,40454,0,0,0,"85382","04","AZ"
37182,35329,28714,6615,1853,0,"85383","04","AZ"
9573,4976,4976,0,4597,0,"85387","04","AZ"
23490,23450,23450,0,40,0,"85388","04","AZ"
8621,3624,0,3624,4997,0,"85390","04","AZ"
35310,35310,35310,0,0,0,"85392","04","AZ"
25922,25809,25809,0,113,0,"85395","04","AZ"
12163,5930,5930,0,6233,0,"85396","04","AZ"
13345,9383,0,9383,3962,0,"85501","04","AZ"
2069,0,0,0,2069,0,"85530","04","AZ"
623,473,0,473,150,0,"85531","04","AZ"
2943,1652,0,1652,1291,0,"85533","04","AZ"
2588,0,0,0,2588,0,"85534","04","AZ"
21,0,0,0,21,0,"85535","04","AZ"
408,0,0,0,408,0,"85536","04","AZ"
4520,4132,0,4132,388,0,"85539","04","AZ"
2874,2856,0,2856,18,0,"85540","04","AZ"
21877,14210,0,14210,7667,0,"85541","04","AZ"
3196,952,0,952,2244,0,"85542","04","AZ"
3822,2105,0,2105,1717,0,"85543","04","AZ"
2949,0,0,0,2949,0,"85544","04","AZ"
583,0,0,0,583,0,"85545","04","AZ"
19677,10467,0,10467,9210,0,"85546","04","AZ"
4790,3041,0,3041,1749,0,"85550","04","AZ"
405,399,0,399,6,0,"85551","04","AZ"
6218,5707,0,5707,511,0,"85552","04","AZ"
1501,0,0,0,1501,0,"85553","04","AZ"
778,0,0,0,778,0,"85554","04","AZ"
698,0,0,0,698,0,"85601","04","AZ"
9464,4036,0,4036,5428,0,"85602","04","AZ"
7155,5541,0,5541,1614,0,"85603","04","AZ"
597,0,0,0,597,0,"85605","04","AZ"
1184,0,0,0,1184,0,"85606","04","AZ"
18925,16689,0,16689,2236,0,"85607","04","AZ"
2305,0,0,0,2305,0,"85608","04","AZ"
392,0,0,0,392,0,"85609","04","AZ"
1333,0,0,0,1333,0,"85610","04","AZ"
965,0,0,0,965,0,"85611","04","AZ"
5601,5439,5439,0,162,0,"85613","04","AZ"
21895,18449,0,18449,3446,0,"85614","04","AZ"
9413,2386,2386,0,7027,0,"85615","04","AZ"
5566,0,0,0,5566,0,"85616","04","AZ"
1277,0,0,0,1277,0,"85617","04","AZ"
1725,0,0,0,1725,0,"85618","04","AZ"
50,0,0,0,50,0,"85619","04","AZ"
897,0,0,0,897,0,"85620","04","AZ"
23054,20563,0,20563,2491,0,"85621","04","AZ"
6325,4580,0,4580,1745,0,"85622","04","AZ"
4073,0,0,0,4073,0,"85623","04","AZ"
1426,0,0,0,1426,0,"85624","04","AZ"
1983,0,0,0,1983,0,"85625","04","AZ"
1021,984,0,984,37,0,"85626","04","AZ"
968,0,0,0,968,0,"85627","04","AZ"
23568,17662,0,17662,5906,0,"85629","04","AZ"
2819,0,0,0,2819,0,"85630","04","AZ"
3630,3185,0,3185,445,0,"85631","04","AZ"
835,0,0,0,835,0,"85632","04","AZ"
54,0,0,0,54,0,"85633","04","AZ"
6490,0,0,0,6490,0,"85634","04","AZ"
34727,32331,32331,0,2396,0,"85635","04","AZ"
1268,0,0,0,1268,0,"85637","04","AZ"
1973,0,0,0,1973,0,"85638","04","AZ"
441,0,0,0,441,0,"85640","04","AZ"
21753,14356,0,14356,7397,0,"85641","04","AZ"
9810,3671,0,3671,6139,0,"85643","04","AZ"
2231,0,0,0,2231,0,"85645","04","AZ"
1311,0,0,0,1311,0,"85646","04","AZ"
19080,14109,0,14109,4971,0,"85648","04","AZ"
15279,12589,12589,0,2690,0,"85650","04","AZ"
15083,9456,347,9109,5627,0,"85653","04","AZ"
97,0,0,0,97,0,"85654","04","AZ"
7790,3718,3502,216,4072,0,"85658","04","AZ"
4983,4983,4983,0,0,0,"85701","04","AZ"
30929,30929,30929,0,0,0,"85704","04","AZ"
57521,57521,57521,0,0,0,"85705","04","AZ"
55209,55209,55209,0,0,0,"85706","04","AZ"
658,658,658,0,0,0,"85707","04","AZ"
2980,2980,2980,0,0,0,"85708","04","AZ"
54439,54439,54439,0,0,0,"85710","04","AZ"
41251,41251,41251,0,0,0,"85711","04","AZ"
32666,32666,32666,0,0,0,"85712","04","AZ"
50151,49863,49863,0,288,0,"85713","04","AZ"
15009,15009,15009,0,0,0,"85714","04","AZ"
17702,17702,17702,0,0,0,"85715","04","AZ"
32853,32853,32853,0,0,0,"85716","04","AZ"
27367,27163,27163,0,204,0,"85718","04","AZ"
43989,43989,43989,0,0,0,"85719","04","AZ"
0,0,0,0,0,0,"85723","04","AZ"
0,0,0,0,0,0,"85724","04","AZ"
0,0,0,0,0,0,"85726","04","AZ"
38323,37357,37357,0,966,0,"85730","04","AZ"
11250,7997,7997,0,3253,0,"85735","04","AZ"
4975,0,0,0,4975,0,"85736","04","AZ"
20727,20685,20685,0,42,0,"85737","04","AZ"
17848,15330,15330,0,2518,0,"85739","04","AZ"
32998,32998,32998,0,0,0,"85741","04","AZ"
25212,23908,23908,0,1304,0,"85742","04","AZ"
29144,23361,19016,4345,5783,0,"85743","04","AZ"
37006,33102,33102,0,3904,0,"85745","04","AZ"
43057,41820,41820,0,1237,0,"85746","04","AZ"
23058,19558,19281,277,3500,0,"85747","04","AZ"
18087,16615,16615,0,1472,0,"85748","04","AZ"
19032,16359,16359,0,2673,0,"85749","04","AZ"
24161,23572,23572,0,589,0,"85750","04","AZ"
15107,13362,13362,0,1745,0,"85755","04","AZ"
35703,34069,34069,0,1634,0,"85756","04","AZ"
16988,16633,16633,0,355,0,"85757","04","AZ"
17207,9144,0,9144,8063,0,"85901","04","AZ"
1800,0,0,0,1800,0,"85911","04","AZ"
178,0,0,0,178,0,"85912","04","AZ"
464,0,0,0,464,0,"85920","04","AZ"
41,0,0,0,41,0,"85922","04","AZ"
621,0,0,0,621,0,"85923","04","AZ"
2683,0,0,0,2683,0,"85924","04","AZ"
4893,4163,0,4163,730,0,"85925","04","AZ"
265,118,0,118,147,0,"85926","04","AZ"
176,0,0,0,176,0,"85927","04","AZ"
1102,0,0,0,1102,0,"85928","04","AZ"
8322,6795,0,6795,1527,0,"85929","04","AZ"
1086,0,0,0,1086,0,"85930","04","AZ"
207,0,0,0,207,0,"85931","04","AZ"
364,0,0,0,364,0,"85932","04","AZ"
3033,0,0,0,3033,0,"85933","04","AZ"
574,0,0,0,574,0,"85934","04","AZ"
4735,3275,0,3275,1460,0,"85935","04","AZ"
4293,2550,0,2550,1743,0,"85936","04","AZ"
7638,3832,0,3832,3806,0,"85937","04","AZ"
2366,1932,0,1932,434,0,"85938","04","AZ"
4400,2447,0,2447,1953,0,"85939","04","AZ"
1443,0,0,0,1443,0,"85940","04","AZ"
9941,6070,0,6070,3871,0,"85941","04","AZ"
80,0,0,0,80,0,"85942","04","AZ"
40776,36157,36157,0,4619,0,"86001","04","AZ"
23,0,0,0,23,0,"86003","04","AZ"
37338,29438,29438,0,7900,0,"86004","04","AZ"
6362,6362,6362,0,0,0,"86011","04","AZ"
385,0,0,0,385,0,"86015","04","AZ"
62,0,0,0,62,0,"86016","04","AZ"
667,0,0,0,667,0,"86017","04","AZ"
759,0,0,0,759,0,"86018","04","AZ"
1941,0,0,0,1941,0,"86020","04","AZ"
6085,5836,0,5836,249,0,"86021","04","AZ"
2210,0,0,0,2210,0,"86022","04","AZ"
2627,0,0,0,2627,0,"86023","04","AZ"
703,0,0,0,703,0,"86024","04","AZ"
5676,3800,0,3800,1876,0,"86025","04","AZ"
47,0,0,0,47,0,"86028","04","AZ"
320,0,0,0,320,0,"86029","04","AZ"
1374,0,0,0,1374,0,"86030","04","AZ"
1856,0,0,0,1856,0,"86031","04","AZ"
1509,0,0,0,1509,0,"86032","04","AZ"
7844,4688,0,4688,3156,0,"86033","04","AZ"
2271,0,0,0,2271,0,"86034","04","AZ"
1802,0,0,0,1802,0,"86035","04","AZ"
388,0,0,0,388,0,"86036","04","AZ"
77,0,0,0,77,0,"86038","04","AZ"
1467,0,0,0,1467,0,"86039","04","AZ"
10283,6665,0,6665,3618,0,"86040","04","AZ"
1778,0,0,0,1778,0,"86042","04","AZ"
1798,0,0,0,1798,0,"86043","04","AZ"
3825,0,0,0,3825,0,"86044","04","AZ"
11354,8858,0,8858,2496,0,"86045","04","AZ"
6090,2639,0,2639,3451,0,"86046","04","AZ"
14970,9765,0,9765,5205,0,"86047","04","AZ"
28,0,0,0,28,0,"86052","04","AZ"
2311,0,0,0,2311,0,"86053","04","AZ"
1935,0,0,0,1935,0,"86054","04","AZ"
20626,18485,18485,0,2141,0,"86301","04","AZ"
17082,14039,14039,0,3043,0,"86303","04","AZ"
17356,8958,8958,0,8398,0,"86305","04","AZ"
257,257,257,0,0,0,"86313","04","AZ"
34401,33615,33615,0,786,0,"86314","04","AZ"
7234,4751,4751,0,2483,0,"86315","04","AZ"
1885,0,0,0,1885,0,"86320","04","AZ"
2219,0,0,0,2219,0,"86321","04","AZ"
11480,5305,0,5305,6175,0,"86322","04","AZ"
15822,10783,0,10783,5039,0,"86323","04","AZ"
4168,3197,0,3197,971,0,"86324","04","AZ"
5152,1059,0,1059,4093,0,"86325","04","AZ"
23344,22394,0,22394,950,0,"86326","04","AZ"
8858,4639,4639,0,4219,0,"86327","04","AZ"
1179,0,0,0,1179,0,"86329","04","AZ"
477,0,0,0,477,0,"86331","04","AZ"
1637,0,0,0,1637,0,"86332","04","AZ"
5734,0,0,0,5734,0,"86333","04","AZ"
4985,0,0,0,4985,0,"86334","04","AZ"
4806,3429,0,3429,1377,0,"86335","04","AZ"
11320,6761,0,6761,4559,0,"86336","04","AZ"
1267,0,0,0,1267,0,"86337","04","AZ"
743,0,0,0,743,0,"86338","04","AZ"
177,0,0,0,177,0,"86343","04","AZ"
6349,5309,0,5309,1040,0,"86351","04","AZ"
24289,18705,0,18705,5584,0,"86401","04","AZ"
15802,15440,15440,0,362,0,"86403","04","AZ"
16243,14915,14915,0,1328,0,"86404","04","AZ"
23763,23072,23072,0,691,0,"86406","04","AZ"
26471,23402,0,23402,3069,0,"86409","04","AZ"
224,0,0,0,224,0,"86411","04","AZ"
12103,0,0,0,12103,0,"86413","04","AZ"
13863,13477,0,13477,386,0,"86426","04","AZ"
7162,4277,0,4277,2885,0,"86429","04","AZ"
403,0,0,0,403,0,"86431","04","AZ"
3933,413,0,413,3520,0,"86432","04","AZ"
111,0,0,0,111,0,"86433","04","AZ"
1490,0,0,0,1490,0,"86434","04","AZ"
487,0,0,0,487,0,"86435","04","AZ"
2104,0,0,0,2104,0,"86436","04","AZ"
76,0,0,0,76,0,"86437","04","AZ"
913,0,0,0,913,0,"86438","04","AZ"
6906,3957,0,3957,2949,0,"86440","04","AZ"
2224,0,0,0,2224,0,"86441","04","AZ"
33382,30722,0,30722,2660,0,"86442","04","AZ"
76,0,0,0,76,0,"86443","04","AZ"
1289,0,0,0,1289,0,"86444","04","AZ"
311,0,0,0,311,0,"86445","04","AZ"
1464,0,0,0,1464,0,"86502","04","AZ"
10714,3407,0,3407,7307,0,"86503","04","AZ"
5835,3181,0,3181,2654,0,"86504","04","AZ"
7682,0,0,0,7682,0,"86505","04","AZ"
1321,0,0,0,1321,0,"86506","04","AZ"
2340,0,0,0,2340,0,"86507","04","AZ"
752,0,0,0,752,0,"86508","04","AZ"
5358,0,0,0,5358,0,"86510","04","AZ"
3694,942,0,942,2752,0,"86511","04","AZ"
2439,0,0,0,2439,0,"86512","04","AZ"
3011,0,0,0,3011,0,"86514","04","AZ"
2894,2376,0,2376,518,0,"86515","04","AZ"
1793,0,0,0,1793,0,"86520","04","AZ"
1199,0,0,0,1199,0,"86535","04","AZ"
2338,0,0,0,2338,0,"86538","04","AZ"
1088,0,0,0,1088,0,"86540","04","AZ"
1267,0,0,0,1267,0,"86544","04","AZ"
1650,0,0,0,1650,0,"86545","04","AZ"
1171,0,0,0,1171,0,"86547","04","AZ"
2090,0,0,0,2090,0,"86556","04","AZ"
185,0,0,0,185,0,"87328","04","AZ"
2,0,0,0,2,0,"38769","05","AR"
36,0,0,0,36,0,"65729","05","AR"
217,0,0,0,217,0,"65733","05","AR"
93,0,0,0,93,0,"65761","05","AR"
17327,16235,16235,0,1092,0,"71601","05","AR"
17982,11837,11837,0,6145,0,"71602","05","AR"
34343,25423,25423,0,8920,0,"71603","05","AR"
405,0,0,0,405,0,"71630","05","AR"
673,0,0,0,673,0,"71631","05","AR"
12348,7835,0,7835,4513,0,"71635","05","AR"
3794,2816,0,2816,978,0,"71638","05","AR"
6579,5023,0,5023,1556,0,"71639","05","AR"
3227,0,0,0,3227,0,"71640","05","AR"
648,0,0,0,648,0,"71642","05","AR"
1109,0,0,0,1109,0,"71643","05","AR"
4264,0,0,0,4264,0,"71644","05","AR"
6756,2724,0,2724,4032,0,"71646","05","AR"
2111,0,0,0,2111,0,"71647","05","AR"
150,0,0,0,150,0,"71651","05","AR"
1159,0,0,0,1159,0,"71652","05","AR"
5152,2586,0,2586,2566,0,"71653","05","AR"
4671,3898,0,3898,773,0,"71654","05","AR"
15387,9505,0,9505,5882,0,"71655","05","AR"
728,0,0,0,728,0,"71658","05","AR"
104,0,0,0,104,0,"71659","05","AR"
963,0,0,0,963,0,"71660","05","AR"
450,0,0,0,450,0,"71661","05","AR"
82,0,0,0,82,0,"71662","05","AR"
732,0,0,0,732,0,"71663","05","AR"
6054,0,0,0,6054,0,"71665","05","AR"
79,0,0,0,79,0,"71666","05","AR"
8267,0,0,0,8267,0,"71667","05","AR"
1403,0,0,0,1403,0,"71670","05","AR"
8665,5801,0,5801,2864,0,"71671","05","AR"
738,0,0,0,738,0,"71674","05","AR"
1824,0,0,0,1824,0,"71675","05","AR"
684,0,0,0,684,0,"71676","05","AR"
185,0,0,0,185,0,"71677","05","AR"
20286,11401,0,11401,8885,0,"71701","05","AR"
106,0,0,0,106,0,"71711","05","AR"
2498,0,0,0,2498,0,"71720","05","AR"
87,0,0,0,87,0,"71722","05","AR"
431,0,0,0,431,0,"71724","05","AR"
555,0,0,0,555,0,"71725","05","AR"
1435,0,0,0,1435,0,"71726","05","AR"
32213,18944,0,18944,13269,0,"71730","05","AR"
1735,0,0,0,1735,0,"71740","05","AR"
5980,3844,0,3844,2136,0,"71742","05","AR"
4090,0,0,0,4090,0,"71743","05","AR"
3224,0,0,0,3224,0,"71744","05","AR"
264,0,0,0,264,0,"71745","05","AR"
1097,0,0,0,1097,0,"71747","05","AR"
2115,0,0,0,2115,0,"71749","05","AR"
939,0,0,0,939,0,"71751","05","AR"
1052,0,0,0,1052,0,"71752","05","AR"
16848,10438,0,10438,6410,0,"71753","05","AR"
450,0,0,0,450,0,"71758","05","AR"
600,0,0,0,600,0,"71759","05","AR"
2501,0,0,0,2501,0,"71762","05","AR"
1666,0,0,0,1666,0,"71763","05","AR"
1880,0,0,0,1880,0,"71764","05","AR"
2156,0,0,0,2156,0,"71765","05","AR"
670,0,0,0,670,0,"71766","05","AR"
3526,0,0,0,3526,0,"71770","05","AR"
34,0,0,0,34,0,"71772","05","AR"
16745,9991,0,9991,6754,0,"71801","05","AR"
103,0,0,0,103,0,"71820","05","AR"
8925,3983,0,3983,4942,0,"71822","05","AR"
83,0,0,0,83,0,"71823","05","AR"
645,0,0,0,645,0,"71825","05","AR"
1315,0,0,0,1315,0,"71826","05","AR"
817,0,0,0,817,0,"71827","05","AR"
11253,6209,0,6209,5044,0,"71832","05","AR"
2280,0,0,0,2280,0,"71833","05","AR"
1491,0,0,0,1491,0,"71834","05","AR"
1334,0,0,0,1334,0,"71835","05","AR"
2856,0,0,0,2856,0,"71836","05","AR"
5227,0,0,0,5227,0,"71837","05","AR"
1148,0,0,0,1148,0,"71838","05","AR"
280,0,0,0,280,0,"71839","05","AR"
913,0,0,0,913,0,"71841","05","AR"
2241,0,0,0,2241,0,"71842","05","AR"
2387,0,0,0,2387,0,"71845","05","AR"
2652,0,0,0,2652,0,"71846","05","AR"
673,0,0,0,673,0,"71847","05","AR"
2241,0,0,0,2241,0,"71851","05","AR"
10102,4488,0,4488,5614,0,"71852","05","AR"
365,0,0,0,365,0,"71853","05","AR"
36438,26072,26072,0,10366,0,"71854","05","AR"
708,0,0,0,708,0,"71855","05","AR"
5894,2773,0,2773,3121,0,"71857","05","AR"
1710,0,0,0,1710,0,"71858","05","AR"
477,0,0,0,477,0,"71859","05","AR"
2633,0,0,0,2633,0,"71860","05","AR"
2258,0,0,0,2258,0,"71861","05","AR"
771,0,0,0,771,0,"71862","05","AR"
194,163,0,163,31,0,"71865","05","AR"
725,0,0,0,725,0,"71866","05","AR"
29491,22969,22969,0,6522,0,"71901","05","AR"
15508,9133,0,9133,6375,0,"71909","05","AR"
43436,32152,32152,0,11284,0,"71913","05","AR"
3652,0,0,0,3652,0,"71921","05","AR"
129,0,0,0,129,0,"71922","05","AR"
15637,9464,0,9464,6173,0,"71923","05","AR"
4487,0,0,0,4487,0,"71929","05","AR"
1616,0,0,0,1616,0,"71933","05","AR"
808,0,0,0,808,0,"71935","05","AR"
2026,0,0,0,2026,0,"71937","05","AR"
1652,0,0,0,1652,0,"71940","05","AR"
2098,0,0,0,2098,0,"71941","05","AR"
4821,0,0,0,4821,0,"71943","05","AR"
773,0,0,0,773,0,"71944","05","AR"
1437,0,0,0,1437,0,"71945","05","AR"
1989,0,0,0,1989,0,"71949","05","AR"
875,0,0,0,875,0,"71950","05","AR"
145,0,0,0,145,0,"71952","05","AR"
14882,5499,0,5499,9383,0,"71953","05","AR"
1882,0,0,0,1882,0,"71956","05","AR"
3133,0,0,0,3133,0,"71957","05","AR"
2525,0,0,0,2525,0,"71958","05","AR"
754,0,0,0,754,0,"71959","05","AR"
1383,0,0,0,1383,0,"71960","05","AR"
1003,0,0,0,1003,0,"71961","05","AR"
792,0,0,0,792,0,"71962","05","AR"
3926,0,0,0,3926,0,"71964","05","AR"
315,0,0,0,315,0,"71965","05","AR"
4717,0,0,0,4717,0,"71968","05","AR"
376,0,0,0,376,0,"71969","05","AR"
792,0,0,0,792,0,"71970","05","AR"
513,0,0,0,513,0,"71971","05","AR"
309,0,0,0,309,0,"71972","05","AR"
1424,0,0,0,1424,0,"71973","05","AR"
321,321,0,321,0,0,"71998","05","AR"
706,706,0,706,0,0,"71999","05","AR"
566,0,0,0,566,0,"72001","05","AR"
14134,6592,6592,0,7542,0,"72002","05","AR"
746,0,0,0,746,0,"72003","05","AR"
1311,0,0,0,1311,0,"72004","05","AR"
248,0,0,0,248,0,"72005","05","AR"
2603,0,0,0,2603,0,"72006","05","AR"
6708,2085,2085,0,4623,0,"72007","05","AR"
6577,2517,0,2517,4060,0,"72010","05","AR"
4074,379,379,0,3695,0,"72011","05","AR"
11986,6714,0,6714,5272,0,"72012","05","AR"
2197,0,0,0,2197,0,"72013","05","AR"
60,0,0,0,60,0,"72014","05","AR"
27307,24091,24091,0,3216,0,"72015","05","AR"
3268,0,0,0,3268,0,"72016","05","AR"
726,0,0,0,726,0,"72017","05","AR"
23346,16753,16753,0,6593,0,"72019","05","AR"
4295,0,0,0,4295,0,"72020","05","AR"
4348,2528,0,2528,1820,0,"72021","05","AR"
14270,14236,14236,0,34,0,"72022","05","AR"
35026,24966,24966,0,10060,0,"72023","05","AR"
3777,0,0,0,3777,0,"72024","05","AR"
847,0,0,0,847,0,"72025","05","AR"
393,0,0,0,393,0,"72026","05","AR"
1417,0,0,0,1417,0,"72027","05","AR"
1912,0,0,0,1912,0,"72029","05","AR"
705,0,0,0,705,0,"72030","05","AR"
7683,0,0,0,7683,0,"72031","05","AR"
31436,19565,19565,0,11871,0,"72032","05","AR"
44723,42128,42128,0,2595,0,"72034","05","AR"
1083,1083,1083,0,0,0,"72035","05","AR"
817,0,0,0,817,0,"72036","05","AR"
28,0,0,0,28,0,"72037","05","AR"
74,0,0,0,74,0,"72038","05","AR"
2131,0,0,0,2131,0,"72039","05","AR"
2867,0,0,0,2867,0,"72040","05","AR"
1457,0,0,0,1457,0,"72041","05","AR"
5161,3185,0,3185,1976,0,"72042","05","AR"
881,0,0,0,881,0,"72044","05","AR"
1151,0,0,0,1151,0,"72045","05","AR"
4470,2762,0,2762,1708,0,"72046","05","AR"
969,0,0,0,969,0,"72047","05","AR"
114,0,0,0,114,0,"72048","05","AR"
622,0,0,0,622,0,"72051","05","AR"
849,0,0,0,849,0,"72055","05","AR"
1070,0,0,0,1070,0,"72057","05","AR"
15911,4069,0,4069,11842,0,"72058","05","AR"
37,0,0,0,37,0,"72059","05","AR"
666,0,0,0,666,0,"72060","05","AR"
250,0,0,0,250,0,"72061","05","AR"
1683,0,0,0,1683,0,"72063","05","AR"
2451,0,0,0,2451,0,"72064","05","AR"
5207,0,0,0,5207,0,"72065","05","AR"
2726,0,0,0,2726,0,"72067","05","AR"
424,320,0,320,104,0,"72068","05","AR"
1369,0,0,0,1369,0,"72069","05","AR"
1813,0,0,0,1813,0,"72070","05","AR"
544,0,0,0,544,0,"72072","05","AR"
1139,0,0,0,1139,0,"72073","05","AR"
167,0,0,0,167,0,"72074","05","AR"
37979,29856,29856,0,8123,0,"72076","05","AR"
786,0,0,0,786,0,"72079","05","AR"
662,0,0,0,662,0,"72080","05","AR"
7798,1182,0,1182,6616,0,"72081","05","AR"
1935,1744,0,1744,191,0,"72082","05","AR"
237,0,0,0,237,0,"72083","05","AR"
1229,0,0,0,1229,0,"72084","05","AR"
220,0,0,0,220,0,"72085","05","AR"
10727,4058,0,4058,6669,0,"72086","05","AR"
2051,11,0,11,2040,0,"72087","05","AR"
2391,0,0,0,2391,0,"72088","05","AR"
616,616,616,0,0,0,"72099","05","AR"
3378,0,0,0,3378,0,"72101","05","AR"
2873,0,0,0,2873,0,"72102","05","AR"
13078,6245,6245,0,6833,0,"72103","05","AR"
23354,11186,0,11186,12168,0,"72104","05","AR"
5376,2501,2501,0,2875,0,"72106","05","AR"
339,0,0,0,339,0,"72107","05","AR"
73,0,0,0,73,0,"72108","05","AR"
11498,6272,0,6272,5226,0,"72110","05","AR"
1362,0,0,0,1362,0,"72111","05","AR"
11467,6288,0,6288,5179,0,"72112","05","AR"
21273,18864,18864,0,2409,0,"72113","05","AR"
12658,12658,12658,0,0,0,"72114","05","AR"
21431,21431,21431,0,0,0,"72116","05","AR"
12684,9966,9966,0,2718,0,"72117","05","AR"
22592,19196,19196,0,3396,0,"72118","05","AR"
5,0,0,0,5,0,"72119","05","AR"
31610,28451,28451,0,3159,0,"72120","05","AR"
2704,0,0,0,2704,0,"72121","05","AR"
927,0,0,0,927,0,"72122","05","AR"
450,0,0,0,450,0,"72123","05","AR"
905,0,0,0,905,0,"72125","05","AR"
3674,0,0,0,3674,0,"72126","05","AR"
2149,0,0,0,2149,0,"72127","05","AR"
814,0,0,0,814,0,"72128","05","AR"
1409,0,0,0,1409,0,"72129","05","AR"
560,0,0,0,560,0,"72130","05","AR"
4631,0,0,0,4631,0,"72131","05","AR"
3242,0,0,0,3242,0,"72132","05","AR"
315,0,0,0,315,0,"72134","05","AR"
2623,0,0,0,2623,0,"72135","05","AR"
1772,0,0,0,1772,0,"72136","05","AR"
2555,0,0,0,2555,0,"72137","05","AR"
216,0,0,0,216,0,"72139","05","AR"
305,0,0,0,305,0,"72140","05","AR"
625,0,0,0,625,0,"72141","05","AR"
2499,0,0,0,2499,0,"72142","05","AR"
35169,22733,0,22733,12436,0,"72143","05","AR"
0,0,0,0,0,0,"72149","05","AR"
12006,4458,0,4458,7548,0,"72150","05","AR"
429,0,0,0,429,0,"72152","05","AR"
2572,0,0,0,2572,0,"72153","05","AR"
639,0,0,0,639,0,"72156","05","AR"
1607,0,0,0,1607,0,"72157","05","AR"
10736,9233,0,9233,1503,0,"72160","05","AR"
111,0,0,0,111,0,"72165","05","AR"
260,0,0,0,260,0,"72166","05","AR"
1719,0,0,0,1719,0,"72167","05","AR"
1834,0,0,0,1834,0,"72168","05","AR"
203,0,0,0,203,0,"72169","05","AR"
202,0,0,0,202,0,"72170","05","AR"
9078,0,0,0,9078,0,"72173","05","AR"
354,0,0,0,354,0,"72175","05","AR"
8141,4032,4032,0,4109,0,"72176","05","AR"
450,0,0,0,450,0,"72179","05","AR"
62,0,0,0,62,0,"72181","05","AR"
1024,1024,1024,0,0,0,"72201","05","AR"
9978,9978,9978,0,0,0,"72202","05","AR"
32505,32163,32163,0,342,0,"72204","05","AR"
23000,23000,23000,0,0,0,"72205","05","AR"
25624,12968,12968,0,12656,0,"72206","05","AR"
10344,10344,10344,0,0,0,"72207","05","AR"
32376,32121,32121,0,255,0,"72209","05","AR"
14258,8609,8609,0,5649,0,"72210","05","AR"
21288,21149,21149,0,139,0,"72211","05","AR"
12705,12705,12705,0,0,0,"72212","05","AR"
19890,15448,15448,0,4442,0,"72223","05","AR"
11462,11462,11462,0,0,0,"72227","05","AR"
26069,26045,26045,0,24,0,"72301","05","AR"
135,0,0,0,135,0,"72311","05","AR"
23966,18219,0,18219,5747,0,"72315","05","AR"
